Index Real_Part Imagine_part Amplitude
62 -18.325 3.33046 18.6252
63 -15.1895 -11.7912 19.2289
64 0.507046 -16.9156 16.9231
65 14.6525 -7.30224 16.3712
66 14.1984 10.4797 17.647
67 -0.078583 20.7044 20.7045
68 -16.0308 14.1703 21.3958
69 -21.1389 -1.56075 21.1964
70 -10.2404 -14.2883 17.579
71 4.48083 -13.2326 13.9707
72 11.5765 -0.566773 11.5903
73 5.98044 10.5064 12.0893
74 -6.38351 11.7251 13.3502
75 -12.8619 3.87512 13.433
76 -9.59569 -6.56147 11.6246
77 -1.40278 -7.89228 8.01597
78 4.77618 -3.15368 5.72343
79 2.53263 3.39725 4.2374
80 -2.10489 4.56693 5.02866
81 -4.94389 0.955564 5.03539
82 -3.03845 -2.64051 4.02548
83 0.61615 -1.38654 1.51728
84 1.62567 1.38256 2.13407
85 -1.84871 3.70484 4.14048
86 -4.18893 1.58642 4.47927
87 -3.91784 -1.93849 4.37118
88 -0.386256 -2.89895 2.92457
89 2.50483 0.098461 2.50676
90 0.724772 3.25798 3.33762
91 -3.21148 4.44697 5.48536
92 -5.04038 0.891146 5.11855
93 -4.4683 -2.82789 5.28797
94 0.76847 -2.78692 2.89093
95 2.38006 -0.682463 2.47598
96 1.84289 4.05108 4.45056
97 -1.20764 4.53885 4.69676
98 -3.39663 3.66073 4.9938
99 -3.54469 1.94632 4.04388
100 -2.29185 1.9058 2.98071
101 -4.1141 2.28258 4.70489
102 -4.30832 2.04306 4.7682
103 -5.14883 -1.39274 5.33387
104 -1.36184 -1.39636 1.95049
105 2.0173 0.896071 2.20736
106 1.04145 7.99756 8.06508
107 -6.67673 12.3411 14.0315
108 -16.4132 9.05989 18.7477
109 -22.8141 -1.96934 22.8989
110 -17.6186 -14.3026 22.6931
111 -6.51609 -20.611 21.6165
112 5.40741 -15.2723 16.2014
113 8.97704 -6.29962 10.9669
114 4.40903 1.79815 4.76161
115 -2.33738 0.854109 2.48855
116 -4.08273 -3.21667 5.19766
117 -1.37124 -7.93897 8.05652
118 4.59255 -5.16615 6.91235
119 4.85829 -1.21252 5.00731
120 1.92862 3.43638 3.94059
121 -2.78351 0.763383 2.8863
122 -3.17799 -1.59869 3.55745
123 -0.649893 -4.22824 4.2779
124 2.38316 -1.46671 2.79834
125 1.32558 0.68242 1.49092
126 -1.57601 2.60819 3.04737
127 -4.10844 -1.67531 4.43688
128 -2.43367 -2.7327 3.65929
129 1.01776 -5.49772 5.59113
130 2.85779 -0.124511 2.8605
131 2.10167 0.935149 2.30033
132 -2.23894 3.1727 3.88315
133 -3.29917 -0.482512 3.33427
134 -3.03356 -2.21362 3.75535
135 -0.455959 -3.80146 3.82871
136 1.31709 -0.765545 1.52342
137 0.655934 -1.08506 1.26792
138 -1.08435 2.02674 2.29858
139 -0.565143 -1.4992 1.60218
140 -2.42024 0.273325 2.43563
141 0.18996 -0.996445 1.01439
142 -1.40632 0.222319 1.42378
143 -2.38206 -0.222584 2.39243
144 -1.3556 -0.228605 1.37474
145 -1.85227 -3.28416 3.77049
146 -0.701487 1.86513 1.99269
147 0.655187 -1.91191 2.02106
148 -5.8188 2.67176 6.40287
149 -0.58512 -0.982787 1.14378
150 -6.25968 -3.87878 7.364
151 -0.494063 -0.865 0.996154
152 0.69738 -3.50821 3.57685
153 -3.36728 0.75398 3.45066
154 -0.637768 2.34674 2.43186
155 -5.76511 -4.38485 7.24316
156 -4.15988 1.45856 4.40818
157 0.901833 -4.33008 4.42299
158 -6.69641 2.33248 7.09101
159 -4.31447 3.89949 5.81556
160 -14.5567 -3.34569 14.9363
161 -15.9895 -5.9649 17.0659
162 -9.94245 -17.0586 19.7445
163 -7.02448 -22.2865 23.3673
164 4.68345 -18.0586 18.6561
165 10.5012 -20.1874 22.7553
166 10.4733 -9.06734 13.853
167 15.8229 -7.37103 17.4556
168 9.74235 -3.40549 10.3204
169 10.6866 0.87099 10.722
170 7.78396 0.287483 7.78927
171 5.1153 0.263104 5.12206
172 5.152 1.78243 5.45162
173 6.23414 -1.22189 6.35275
174 2.75848 2.51815 3.73501
175 5.45455 2.13843 5.85875
176 0.5508 0.282362 0.618958
177 1.5565 1.32357 2.04316
178 3.31044 -1.59514 3.67471
179 2.32445 -1.2218 2.626
180 4.8904 2.17266 5.3513
181 3.66986 0.570052 3.71387
182 0.216069 3.79839 3.80453
